,Year,Type,Country,Activity,sex,Injury,Fatal
1865,2002,Unprovoked,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,MALE,"FATAL, torso & leg bitten  ",YES
1866,2002,Invalid,AUSTRALIA,Fishing (Drowned 2-Apr-2002),MALE,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",UNKNOWN
1867,2002,Unprovoked,USA,"Surfing, but standing in water alongside board",MALE,Left foot bitten,NO
1869,2002,Unprovoked,AUSTRALIA,Swimming,MALE,Foot bitten,NO
1870,2002,Unprovoked,BAHAMAS,Standing,MALE,Calf bitten,NO
1871,2002,Unprovoked,USA,Wading,MALE,Two half-inch lacerations on right heel and one near small toe,NO
1872,2002,Unprovoked,USA,Swimming / Wading,MALE,Upper left arm bitten,NO
1873,2002,Unprovoked,USA,Body-boarding,MALE,Left leg severed below knee,NO
1874,2002,Unprovoked,USA,Wading,FEMALE,Foot bitten,NO
1875,2002,Unprovoked,BRAZIL,Swimming,MALE,"Severe kacerations, FATAL",YES
1876,2002,Unprovoked,USA,Swimming /  boogie boarding,MALE,Punctures on left foot and foot ,NO
1877,2002,Unprovoked,USA,Snorkeling,MALE,Arm bitten,NO
1878,2002,Unprovoked,USA,Surfing,MALE,Several  puncture wounds on lower right leg,NO
1879,2002,Invalid,NEW CALEDONIA,Spearfishing,MALE,"PRESUMED FATAL, body not recovered",UNKNOWN
1880,2002,Unprovoked,TURKS & CAICOS,Capsized fishing boat,MALE,FATAL,YES
1881,2002,Unprovoked,AUSTRALIA,Surfing,MALE,Heel / foot bitten,NO
1882,2002,Unprovoked,FIJI,UNKNOWN,MALE,"FATAL, lower thigh & knee severely lacerated ",YES
1883,2002,Boating,AUSTRALIA,Kayaking,MALE,Stern of kayak bitten/chest bruised ,NO
1884,2002,Unprovoked,AUSTRALIA,Surfing,MALE,Bruises & minor cuts,NO
1885,2002,Unprovoked,AUSTRALIA,Swimming,MALE,15 cm wound on inner thigh,NO
1886,2002,Unprovoked,SOUTH AFRICA,Fishing,MALE,Leg bitten & surgically amputated,NO
1887,2002,Unprovoked,BRAZIL,Swimming,UNKNOWN,FATAL,YES
1888,2002,Unprovoked,SOUTH AFRICA,Surf skiing,MALE,Foot & calf bitten,NO
1889,2002,Unprovoked,USA,Snorkeling,MALE,Lacerations to buttocks & thigh,NO
1890,2001,Invalid,AUSTRALIA,Surfing,MALE,"No injury, 2 m to 2.5 m [6.75'  to 8.25'] shark made a threat display",NO
1891,2001,Unprovoked,AUSTRALIA,Surfing,MALE,"No Injury, shark hit board",NO
1892,2001,Unprovoked,USA,Surfing,UNKNOWN,"No injury, portion of board's lower surface removed",NO
1893,2001,Invalid,AUSTRALIA,Surf-skiing,MALE,"No injury, fell off ski after possibly colliding with  a shark",UNKNOWN
1894,2001,Unprovoked,SOUTH AFRICA,Kite-Boarding,MALE,No injury,NO
1895,2001,Unprovoked,AUSTRALIA,Snorkeling,FEMALE,Lacerations to right forearm & shoulder injured,NO
1896,2001,Unprovoked,MEXICO,Body surfing,MALE,Hand injured,NO
1897,2001,Boat,AUSTRALIA,UNKNOWN,MALE,No injury from shark,NO
1898,2001,Provoked,USA,"Surfing, fell off surfboard & stepped on the shark.",MALE,PROVOKED INCIDENT Several small lacerations on left foot ,NO
1899,2001,Unprovoked,USA,Surfing,MALE,"1"" to 2"" cuts on right ankle & foot",NO
1900,2001,Invalid,USA,Wreck / Technical diving,MALE,FATAL or drowning & scavenging,YES
1901,2001,Unprovoked,USA,Boogie boarding,MALE,"2 lacerations on lower back, punctures on buttock",NO
1902,2001,Unprovoked,USA,Surfing,MALE,Foot bitten,NO
1903,2001,Provoked,UNITED KINGDOM,Diving,MALE,Head bitten by captive shark PROVOKED INCIDENT,NO
1904,2001,Provoked,USA,Fishing,MALE,Fingers & leg lacerated  by hooked shark PROVOKED INCIDENT,NO
1905,2001,Unprovoked,USA,Walking in shallows,MALE,Minor injury to left leg,NO
1906,2001,Invalid,USA,Swimming,FEMALE,Left hand injured,NO
1907,2001,Unprovoked,USA,Swimming ,MALE,FATAL,YES
1908,2001,Unprovoked,USA,Swimming,FEMALE,Left buttock & foot  severed,NO
1909,2001,Unprovoked,USA,Wading,MALE,Right calf lacerated,NO
1910,2001,Unprovoked,USA,Swimming ,MALE,"FATAL, thigh bitten ",YES
1911,2001,Unprovoked,BAHAMAS,Spearfishing,MALE,Torso lacerated,NO
1912,2001,Unprovoked,USA,Standing,FEMALE,Punctures & lacerations on elbow & forearm,NO
1913,2001,Unprovoked,USA,Wading,MALE,Heel lacerated,NO
1914,2001,Unprovoked,USA,Boogie Boarding,MALE,Thigh & foot bitten,NO
1915,2001,Unprovoked,USA,Boogie Boarding,MALE,Upper left thigh & right foot bitten,NO
1916,2001,Unprovoked,USA,Surfing,MALE,Foot lacerated,NO
1917,2001,Unprovoked,USA,Surfing,MALE,Thigh lacerated,NO
1918,2001,Unprovoked,USA,Surfing,MALE,Cuts on right foot,NO
1919,2001,Unprovoked,USA,Surfing,FEMALE,Lacerations to lower leg,NO
1920,2001,Unprovoked,USA,Surfing,FEMALE,Left foot lacerated,NO
1922,2001,Unprovoked,USA,Surfing,MALE,Back of left hand gashed,NO
1923,2001,Unprovoked,USA,Surfing,MALE,Left ankle bitten,NO
1924,2001,Unprovoked,BAHAMAS,Spearfishing,MALE,Calf bitten,NO
1925,2001,Unprovoked,THAILAND,Fell off banana boat,MALE,Legs bitten,NO
1926,2001,Unprovoked,USA,UNKNOWN,FEMALE,Toe bitten,NO
1927,2001,Unprovoked,BAHAMAS,Swimming,MALE,"Leg bitten, later surgically amputated above the knee",NO
1928,2001,Boating,ITALY,Fishing,UNKNOWN,No Injury to occupants,NO
1929,2001,Unprovoked,USA,UNKNOWN,FEMALE,Survived,NO
1930,2001,Unprovoked,USA,UNKNOWN,MALE,Minor injury,NO
1931,2001,Unprovoked,USA,UNKNOWN,FEMALE,2 bites behind knee,NO
1932,2001,Boating,USA,Fishing,UNKNOWN,No Injury to occupants; shark bumped the boat ,NO
1933,2001,Unprovoked,USA,Surfing,MALE,Left foot & heel lacerated,NO
1934,2001,Unprovoked,USA,Boogie boarding,MALE,Foot lacerated,NO
1935,2001,Unprovoked,MEXICO,Surfing,MALE,Foot bitten,NO
1936,2001,Unprovoked,USA,Swimming,MALE,"Arm severed, surgically reattached",NO
1937,2001,Unprovoked,USA,UNKNOWN,UNKNOWN,Hand bitten,NO
1938,2001,Unprovoked,USA,Floating face-down in knee-deep water,MALE,2-inch cut on dorsum of left foot,NO
1939,2001,Unprovoked,USA,Swimming,MALE,Leg lacerated,NO
1940,2001,Provoked,USA,Spearfishing,MALE,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",NO
1941,2001,Invalid,AUSTRALIA,Hiking on the beach,MALE,Remains recovered from gut of a  3.7 m [12'] tiger shark,UNKNOWN
1942,2001,Unprovoked,USA,Wading,FEMALE,3 puncture wounds on each side of her left  hand,NO
1943,2001,Unprovoked,USA,UNKNOWN,MALE,Survived,NO
1944,2001,Unprovoked,USA,Swimming,MALE,Shin lacerated,NO
1945,2001,Unprovoked,USA,Swimming,MALE,5.5-inch laceration on calf,NO
1946,2001,Provoked,PHILIPPINES,Shark fishing,MALE,Arm bitten PROVOKED INCIDENT,NO
1947,2001,Invalid,MADAGASCAR,UNKNOWN,MALE,Fatal or drowned & remains scavenged by shark,UNKNOWN
1948,2001,Unprovoked,SOUTH AFRICA,Surfing,MALE,Leg bitten,NO
1949,2001,Unprovoked,AUSTRALIA,Surfing,MALE,"Chest lacerated, surfboard bitten",NO
1950,2001,Unprovoked,USA,Surfing,MALE,Foot lacerated ,NO
1951,2001,Unprovoked,FIJI,"Spearfishing, carrying his catch",MALE,FATAL,YES
1952,2001,Unprovoked,USA,Boogie boarding,MALE,4 small lacerations on lower right leg,NO
1953,2001,Unprovoked,USA,Surfing,MALE,Foot & ankle lacerated,NO
1954,2001,Unprovoked,USA,Surfing,MALE,Right foot & ankle lacerated,NO
1955,2001,Unprovoked,USA,UNKNOWN,MALE,Right ankle & lower leg lacerated,NO
1957,2001,Unprovoked,USA,Surfing,MALE,Small cuts on big & pinky toes of left foot,NO
1958,2001,Unprovoked,USA,Body boarding,MALE,Foot & ankle lacerated,NO
1960,2001,Unprovoked,USA,Surfing,MALE,Minor cuts on right heel & foot,NO
1961,2001,Unprovoked,USA,Surfing,MALE,Lacerations to top & bottom of left foot,NO
1962,2001,Unprovoked,USA,Surfing,MALE,Minor punctures & lacerations on left hand ,NO
1963,2001,Unprovoked,USA,Surfing,UNKNOWN,Foot lacerated,NO
1964,2001,Unprovoked,SOUTH AFRICA,Surfing,MALE,"Thigh, hip & buttock bitten",NO
1965,2001,Provoked,AUSTRALIA,Snorkeling,MALE,Wrist lacerated PROVOKED INCIDENT,NO
1966,2001,Unprovoked,USA,Standing alongside surfboard,MALE,Minor lacerations to dorsum of left foot,NO
1967,2001,Unprovoked,BRAZIL,Batin,FEMALE,Left thigh bitten,NO
1968,2001,Unprovoked,AUSTRALIA,Surfing,MALE,Calf bitten,NO
1969,2001,Unprovoked,USA,Body-boarding,MALE,"Minor cuts on left hand, body board bitten",NO
1970,2001,Unprovoked,USA,Surfing,MALE,Fingers & hand lacerated,NO
1971,2001,Invalid,BRAZIL,Attempting to catch a crocodile,MALE,Lacerations below the knee,UNKNOWN
1972,2001,Unprovoked,BRAZIL,Swimming,MALE,FATAL,YES
1973,2001,Sea Disaster,CARIBBEAN SEA,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,UNKNOWN,"Human remains recovered in shark caught off Anguilla, probable scavenging on drowned body",YES
1974,2001,Boating,AUSTRALIA,Fishing for whiting,UNKNOWN,No injury to occupants,NO
1975,2001,Invalid,MALAYSIA,Unknown,FEMALE,Bones recovered by fishermen in 300-kg [662-lb] white sharks gut,UNKNOWN
1976,2001,Unprovoked,AUSTRALIA,Surfing,MALE,Leg bitten,NO
1977,2001,Boating,AUSTRALIA,Kayaking,MALE,"No injury, shark rammed & bit kayak",NO
1978,2001,Unprovoked,CUBA,Swimming,FEMALE,Left arm bitten,NO
1979,2001,Boating,AUSTRALIA,Fishing,UNKNOWN,No injury to occupants,NO
1980,2001,Unprovoked,USA,Surfing,MALE,"Foot bruised, board dinged",NO
1981,2001,Boating,NEW ZEALAND,Kayaking,MALE,"No injury, kayak bitten",NO
1982,2000,Unprovoked,AUSTRALIA,Scuba diving,MALE,Hand bitten,NO
1983,2000,Unprovoked,FIJI,Swimming back from anchored sailboat,MALE,"FATAL, leg severed ",YES
1984,2000,Boating,AUSTRALIA,Fishing for whiting,UNKNOWN,No injury to occupants,NO
1985,2000,Unprovoked,CANADA,Diving for sea urchins,MALE,No injury,NO
1986,2000,Unprovoked,AUSTRALIA,Spearfishing,MALE,Left elbow and forearm bitten,NO
1987,2000,Unprovoked,NEW ZEALAND,Surfing,FEMALE,FATAL,YES
1988,2000,Unprovoked,AUSTRALIA,Diving (shell maintenance),MALE,"No injury, wetsuit & swimfin torn",NO
1989,2000,Invalid,AUSTRALIA,Shipwrecked,MALE,"Missing, thought to have been taken by a shark",UNKNOWN
1990,2000,Unprovoked,USA,Swimming,MALE,Right calf lacerated,NO
1991,2000,Invalid,USA,Walking,FEMALE,No injury,UNKNOWN
1992,2000,Unprovoked,AUSTRALIA,Swimming,MALE,Leg & feet lacerated,NO
1993,2000,Unprovoked,AUSTRALIA,Swimming,MALE,"FATAL, torso bitten, leg severed ",YES
1994,2000,Unprovoked,USA,Surfing,MALE,Both thighs bitten,NO
1995,2000,Boat,AUSTRALIA,Fishing ,UNKNOWN,"No Injury to occupant, shark holed and sank boat",NO
1996,2000,Unprovoked,USA,Surfing,MALE,Leg lacerated,NO
1997,2000,Unprovoked,USA,Swimming / snorkeling,FEMALE,Right side of back / torso lacerated,NO
1998,2000,Unprovoked,USA,Swimming,MALE,Right hand lacerated,NO
1999,2000,Unprovoked,USA,Surfing,MALE,Foot lacerated,NO
2000,2000,Unprovoked,USA,Surfing,MALE,Fingers lacerated,NO
2001,2000,Unprovoked,USA,Body surfing,MALE,Right foot & heel lacerated,NO
2002,2000,Unprovoked,USA,Surfing,MALE,Upper left arm lacerated,NO
2003,2000,Unprovoked,USA,Sitting on surfboard,MALE,No injury,NO
2004,2000,Unprovoked,AUSTRALIA,Surfing,MALE,FATAL,YES
2006,2000,Provoked,AUSTRALIA,Fell onto dead shark,MALE,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,NO
2007,2000,Unprovoked,OKINAWA,Surfing,MALE, FATAL,YES
2008,2000,Unprovoked,USA,UNKNOWN,UNKNOWN,Non-fatal,NO
2009,2000,Unprovoked,USA,Standing / surfing,MALE,Right lower leg & ankle lacerated,NO
2010,2000,Unprovoked,USA,Surfing,FEMALE,Puncture wounds on knee,NO
2011,2000,Unprovoked,USA,Swimming / Body surfing,MALE,Finger lacerated,NO
2012,2000,Unprovoked,USA,Swimming,MALE,Minor injury to arm and hand,NO
2013,2000,Unprovoked,SOUTH AFRICA,Free diving,MALE,Swim fin bitten,NO
2014,2000,Unprovoked,TANZANIA,Swimming,MALE,FATAL,YES
2015,2000,Unprovoked,USA,Wading,MALE,Left foot lacerated ,NO
2016,2000,Unprovoked,REUNION,Surfing,MALE,Left arm bitten,NO
2017,2000,Unprovoked,TANZANIA,Swimming,UNKNOWN,FATAL,YES
2018,2000,Unprovoked,USA,Swimming,MALE,Punctures & lacerations on right foot,NO
2019,2000,Unprovoked,USA,Jumped into the water,MALE,FATAL,YES
2020,2000,Provoked,USA,Conducting research,MALE,Leg bitten by netted shark PROVOKED INCIDENT,NO
2021,2000,Unprovoked,USA,Swimming out to porpoises ,MALE,"Severe gash to left hand above wrist, almost severing hand",NO
2022,2000,Unprovoked,USA,"Windsurfing, but sitting on his board",MALE,Left calf lacerated,NO
2023,2000,Unprovoked,USA,Surfing / Wading,MALE,Minor lacerations to the dorsum of the right foot,NO
2024,2000,Unprovoked,USA,Standing,FEMALE,Severely bitten on lower leg ,NO
2025,2000,Invalid,USA,Swimming ,MALE,Non-fatal,UNKNOWN
2026,2000,Invalid,USA,Attempting to illegally enter the USA,MALE,Shark involvement probably post-mortem,UNKNOWN
2028,2000,Unprovoked,USA,UNKNOWN,MALE,Minor laceration on left leg,NO
2029,2000,Unprovoked,USA,Snorkeling,FEMALE,Leg pinched,NO
2031,2000,Unprovoked,USA,Surfing,MALE,Minor lacerations on foot,NO
2032,2000,Unprovoked,SOUTH AFRICA,Surfing,MALE,Hand lacerated,NO
2033,2000,Unprovoked,SOUTH AFRICA,Surfing,MALE,"No injury, flung off board",NO
2034,2000,Unprovoked,SOUTH AFRICA,Surfing,MALE,No Injury,NO
2035,2000,Unprovoked, TONGA,Scuba diving,MALE,Left arm bitten,NO
2036,2000,Unprovoked,USA,Wading,MALE,Minor laceration & 3 punctures to right foot,NO
2037,2000,Unprovoked,USA,Swimming ,MALE,Knee & calf lacerated,NO
2038,2000,Unprovoked,USA,Jumping,MALE,Ankle & foot lacerated,NO
2039,2000,Unprovoked,USA,Playing,FEMALE,Calf lacerated,NO
2040,2000,Unprovoked,USA,Wading,FEMALE,Left inner thigh,NO
2041,2000,Unprovoked,USA,"Spearfishing, holding mesh bag with speared fish",FEMALE,Lower right calf lacerated,NO
2042,2000,Unprovoked,USA,Wading,FEMALE,Left calf & hand lacerated,NO
2043,2000,Unprovoked,USA,Standing,FEMALE,Left thigh lacerated,NO
2045,2000,Unprovoked,PAPUA NEW GUINEA,UNKNOWN,MALE,FATAL,YES
2046,2000,Boat,NEW ZEALAND,Fishing,MALE,"No injury, shark bit the dinghy",NO
2047,2000,Unprovoked,USA,Standing,MALE,Right ankle lacerated,NO
2048,2000,Boat,USA,Sailing,UNKNOWN,"No injury to occupants, boat's rear platform bitten",NO
2050,2000,Unprovoked,USA,Swimming,MALE,Puncture wounds on right hip and arm,NO
2051,2000,Unprovoked,USA,Swimming ,MALE,Right forearm severed surgically amputated above elbow,NO
2052,2000,Unprovoked,USA,Snorkeling,MALE,Right forearm lacerated,NO
2053,2000,Unprovoked,TANZANIA,Swimming,MALE,"FATAL, legs severed  ",YES
2054,2000,Sea Disaster,NEW CALEDONIA,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",UNKNOWN,Sharks prevented recovery of remains,YES
2055,2000,Invalid,AUSTRALIA,UNKNOWN,UNKNOWN,Probable drowning,UNKNOWN
2056,2000,Unprovoked,PAPUA NEW GUINEA,Standing,MALE,Left leg & ankle bitten,NO
2057,2000,Unprovoked,PAPUA NEW GUINEA,Diving,MALE,FATAL,YES
2058,2000,Unprovoked,USA,Walking,MALE,Left foot lacerated,NO
2059,2000,Unprovoked,USA,Boogie boarding / wading,MALE,Puncture marks on right thigh,NO
2060,2000,Unprovoked,USA,Fishing,MALE,"No Injury, bumped by shark",NO
2061,2000,Unprovoked,AUSTRALIA,Swimming,MALE,Left calf bitten,NO
2062,2000,Unprovoked,USA,Boogie boarding,FEMALE,Right knee lacerated,NO
2063,2000,Unprovoked,USA,Surfing,MALE,Left hand bitten,NO
2064,2000,Unprovoked,NEW CALEDONIA,Spearfishing,MALE,FATAL,YES
2065,2000,Unprovoked,AUSTRALIA,Surfing,MALE,No Injury,NO
2066,2000,Boating,AUSTRALIA,Rowing,UNKNOWN,No Injury to occupants,NO
2067,2000,Boating,AUSTRALIA,Rowing,UNKNOWN,No injury to occupants; oar bitten,NO
2068,2000,Invalid,NEW ZEALAND,Kayaking,MALE,Reported as shark attack but probable drowning ,UNKNOWN
2069,2000,Unprovoked,AUSTRALIA,Swimming,MALE,Survived,NO
2070,2000,Unprovoked,USA,Spearfishing,MALE,"No injury to diver, speargun damaged",NO
2071,2000,Unprovoked,USA,UNKNOWN,MALE,Right calf bitten,NO
2072,2000,Unprovoked,SOUTH AFRICA,Body surfing,MALE,Foot bitten,NO
2073,2000,Provoked,ENGLAND,Feeding prawns to captive sharks,MALE,Fingers bitten PROVOKED INCIDENT,NO
2074,2000,Unprovoked,NEW ZEALAND,Surfing,MALE,"No injury, wetsuit punctured",NO
2075,2000,Unprovoked,AUSTRALIA,Surfing,MALE,Hand bitten,NO
2076,2000,Boat,REUNION,Canoe with 3 men onboard sank,MALE,FATAL,YES
2077,2000,Unprovoked,THAILAND,Diving,MALE,FATAL,YES
2078,2000,Boat,USA,Fishing for tarpon,MALE,No injury to occupant; shark bit propeller,NO
2079,1999,Unprovoked,NEW ZEALAND,Surfing,MALE,Six puncture wounds on  leg,NO
2080,1999,Unprovoked,NEW ZEALAND,Swimming,FEMALE,Arm bitten,NO
2081,1999,Unprovoked,NEW ZEALAND,Bathing,FEMALE,A cut on her hand,NO
2082,1999,Unprovoked,BRAZIL,Surfing,MALE,"Leg bitten, surgically amputated",NO
2083,1999,Invalid,USA,Scuba diving,MALE,"Presumed taken by a shark,  but forensic evidence suggested otherwise.",UNKNOWN
2084,1999,Invalid,BRAZIL,Spearfishing,MALE,"Lateral right thigh bitten. Thought to involve a 1.2 to 1.5 m tubarão da gralha preta -  a blacktip shark, C. limbatus",NO
2085,1999,Unprovoked,USA,Surfing,MALE,Right arm & fingers lacerated,NO
2086,1999,Unprovoked,USA,Surfing,MALE,Lacerations to hand & wrist,NO
2087,1999,Unprovoked,USA,Swimming,FEMALE,"Buttock bitten, hands lacerated",NO
2088,1999,Unprovoked,USA,Surfing (sitting on his board),MALE,"No injury, board bitten",NO
2089,1999,Unprovoked,SOUTH AFRICA,Surfing,MALE,Lower legs lacerated,NO
2090,1999,Unprovoked,BRAZIL,"Spearfishing, but swimming at surface",MALE,Upper right thigh bitten,NO
2091,1999,Unprovoked,MARSHALL ISLANDS,Swimming,MALE,Lacerations to leg,NO
2092,1999,Unprovoked,MARSHALL ISLANDS,Swimming,MALE,Lacerations to buttocks,NO
2093,1999,Unprovoked,USA,Body boarding,MALE,Right foot lacerated,NO
2094,1999,Unprovoked,USA,Body surfing,MALE,"Shark bit 8"" chunk from swim fin",NO
2095,1999,Unprovoked,USA,Surfing,MALE,Lacerations to right hand & wrist,NO
2096,1999,Unprovoked,USA,"Surfing, lying on surfboard",MALE,Right arm bitten,NO
2097,1999,Unprovoked,USA,Wading to shore after surfing,MALE,3 one-inch lacerations to sole of right foot,NO
2098,1999,Boating,ITALY,Fishing,UNKNOWN,No Injury to occupants,NO
2099,1999,Unprovoked,USA,Kayaking,MALE,"No injury, but kayak scraped & dented",NO
2100,1999,Unprovoked,USA,Wading,FEMALE,Thigh (posterior) bitten,NO
2101,1999,Unprovoked,USA,Wading,FEMALE,Toes lacerated,NO
2102,1999,Unprovoked,USA,Surfing,MALE,Right foot bitten,NO
2103,1999,Provoked,USA,Wading,MALE,Left knee nipped by captive shark PROVOKED INCIDENT,NO
2104,1999,Unprovoked,USA,Wading with surfboard,MALE,Right foot bitten,NO
2105,1999,Unprovoked,USA,Surfing,MALE,3-inch laceration to right foot,NO
2106,1999,Unprovoked,USA,Surfing,MALE,Foot injured,NO
2107,1999,Unprovoked,MARSHALL ISLANDS,Fishing,MALE,Lacerations to left leg,NO
2108,1999,Unprovoked,USA,Surfing,MALE,Small lacerations to right foot,NO
2109,1999,Unprovoked,USA,Lying prone in 2' of water,MALE,"Ear lacerated, cuts on scalp, back, arm & shoulder ",NO
2110,1999,Unprovoked,USA,Body surfing,MALE,Right ankle & heel  lacerated,NO
2111,1999,Unprovoked,BAHAMAS,Spearfishing & holding catch,MALE,Right arm bitten,NO
2112,1999,Unprovoked,SOUTH AFRICA,Surfing,MALE,Right thigh bitten,NO
2113,1999,Unprovoked,USA,Swimming with dolphins,MALE,Ankle bitten,NO
2114,1999,Unprovoked,USA,Surfing,MALE,Right thigh & buttock bitten,NO
2115,1999,Unprovoked,SOUTH AFRICA,Boogie boarding,MALE,FATAL,YES
2116,1999,Unprovoked,USA,UNKNOWN,MALE,Five cuts on his heel,NO
2117,1999,Unprovoked,USA,Wading in school of baitfish,FEMALE,Lacerations knee to ankle,NO
2118,1999,Unprovoked,SOUTH AFRICA,Surfing,MALE,Leg & board bitten,NO
2119,1999,Unprovoked,USA,Adrift in a life jacket,MALE,9-inch gash in left foot ,NO
2120,1999,Unprovoked,USA,Surfing,MALE,Right hand and wrist lacerated,NO
2121,1999,Unprovoked,USA,Swimming,MALE,8-inch bite on calf,NO
2122,1999,Unprovoked,USA,Splashing / wading,MALE,Knee lacerated,NO
2123,1999,Unprovoked,AUSTRALIA,Windsurfing,MALE,"FATAL, body not recovered",YES
2124,1999,Unprovoked,BRAZIL,Surfing,MALE,Leg & hands bitten,NO
2125,1999,Unprovoked,MAURITIUS,Swimming,FEMALE,Thigh bitten,NO
2126,1999,Unprovoked,REUNION,Swimming after being swept into sea by a large wave,MALE,FATAL,YES
2127,1999,Unprovoked,USA,Surfing,MALE,Ankle bitten,NO
2128,1999,Unprovoked,NEW ZEALAND,Spearfishing & diving for paua,MALE,No injury,NO
2129,1999,Provoked,BRAZIL,Scientific research (Dr. Sonny Gruber's student),MALE,Grabbed small shark & it bit him  PROVOKED INCIDENT,NO
2130,1999,Unprovoked,USA,"Swimming, towing a kayak",FEMALE,"FATAL, arm bitten ",YES
2131,1999,Unprovoked,NEW CALEDONIA,Spearfishing,MALE,Multiple injuries,NO
2132,1999,Provoked,NEW ZEALAND,Fishing,MALE,Right thigh bitten PROVOKED INCIDENT,NO
2133,1999,Unprovoked,USA,Body surfing or body boarding,MALE,Bruised right leg,NO
2134,1999,Unprovoked,USA,Swimming near pod of whales,FEMALE,Tissue removed knee to thigh,NO
2135,1999,Boating,USA,Cruising,UNKNOWN,"No injury to occupants, boat sank after colliding with shark",NO
2136,1999,Unprovoked,AUSTRALIA,Surfing,MALE,"Left hand & forearm bitten, board bitten",NO
2137,1999,Unprovoked,USA,Surfing,MALE,Left hand bitten,NO
2138,1999,Unprovoked,MAURITIUS,Spearfishing,MALE,Legs & torso injured,NO
2139,1999,Unprovoked,SOUTH AFRICA,Paddle Skiing,MALE,"No Injury, ski bitten",NO
2140,1999,Boating,NEW ZEALAND,Inflatable boat,UNKNOWN,No injury to occupant: boat lost,NO
2141,1999,Invalid,AUSTRALIA,Fishing,FEMALE,"Cut foot, but injury caused by fishing line, not the shark",UNKNOWN
2142,1999,Unprovoked,REUNION,Spearfishing,UNKNOWN,FATAL,YES
2143,1999,Unprovoked,SOUTH AFRICA,Spearfishing,MALE,Heel lacerated,NO
2144,1999,Invalid,USA,Body surfing,MALE,Abrasions,UNKNOWN
2145,1998,Provoked,USA,Surfing,MALE,Left foot bitten after he accidentally stepped on the shark         PROVOKED INCIDENT ,NO
2146,1998,Unprovoked,AUSTRALIA,Standing,FEMALE,2 puncture wounds in left leg,NO
2147,1998,Unprovoked,SOUTH AFRICA,Surfing,MALE,Leg bitten,NO
2148,1998,Unprovoked,SOUTH AFRICA,Splashing,MALE,Right leg bitten,NO
2149,1998,Unprovoked,AUSTRALIA,Surfing,FEMALE,Leg injured,NO
2150,1998,Unprovoked,USA,Swimming,MALE,FATAL,YES
2151,1998,Unprovoked,USA,Surfing,MALE,Right foot bitten,NO
2152,1998,Unprovoked,USA,Walking,MALE,Survived,NO
2153,1998,Unprovoked,USA,Surfing,MALE,No injury,NO
2154,1998,Provoked,JAPAN,Fishing for tuna,MALE,PROVOKED INCIDENT    Knee bitten by shark trapped in net,NO
2155,1998,Unprovoked,BRAZIL,Surfing,MALE,"FATAL, left forearm severed  ",YES
2156,1998,Unprovoked,USA,Swimming,FEMALE,Minor lacerations on right ankle & foot,NO
2157,1998,Unprovoked,SOUTH AFRICA,Surfing,MALE,"No injury, surfboard bitten",NO
2158,1998,Unprovoked,USA,Surfing,MALE,Right hand bitten,NO
2159,1998,Unprovoked,BRAZIL,Surfing,MALE,Right leg bitten,NO
2160,1998,Unprovoked,REUNION,Diving,UNKNOWN,Survived,NO
2161,1998,Unprovoked,USA,UNKNOWN,MALE,2 one-inch lacerations in left foot,NO
2162,1998,Unprovoked,USA,Surfing,MALE,Puncture wounds to leg,NO
2163,1998,Unprovoked,USA,Surfing,MALE,Left arm lacerated,NO
2164,1998,Unprovoked,SOUTH AFRICA,Fishing / washing bait off hands,MALE,Laceration to right foot,NO
2166,1998,Provoked,SENEGAL,Spearfishing,MALE,Bitten by harpooned shark PROVOKED INCIDENT,NO
2167,1998,Unprovoked,USA,Surfing,MALE,Toes lacerated,NO
2168,1998,Invalid,ITALY,Fishing,UNKNOWN,"No injury; no attack, shark ate the bait hanging over the side of the boat",UNKNOWN
2169,1998,Unprovoked,USA,Boogie boarding,MALE,"Thigh, buttocks & lower back lacerated",NO
2170,1998,Unprovoked,USA,Spearfishing,MALE,Lacerations to left hand,NO
2171,1998,Unprovoked,BAHAMAS,Spearfishing,MALE,Calf bitten,NO
2172,1998,Unprovoked,USA,Body-boarding,MALE,Left calf injured,NO
2173,1998,Provoked,SOUTH AFRICA,Moving a shark in a net ,MALE,Lacerations to right shin  PROVOKED INCIDENT,NO
2174,1998,Unprovoked,SOUTH AFRICA,Surfing (or body boarding),MALE,Legs bitten,NO
2175,1998,Unprovoked,SOUTH AFRICA,Spearfishing,MALE,Leg bitten,NO
2176,1998,Unprovoked,BRAZIL,Surfing,MALE,Lacerations to left foot,NO
2177,1998,Unprovoked,USA,Surfing,MALE,Calf bitten,NO
2178,1998,Unprovoked,SOUTH AFRICA,Wading,MALE,Right leg bitten,NO
2179,1998,Unprovoked,SOUTH AFRICA,Surfing,MALE,Knee bitten,NO
2180,1998,Unprovoked,SOUTH AFRICA,Surfing,MALE,Right leg bitten,NO
2181,1998,Unprovoked,AUSTRALIA,Free diving for abalone,MALE,"FATAL, left thigh and lower leg severely injured  ",YES
